job_number,prop_stories, occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,units_net_complete,units_net_incomplete,latest_cofo,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,x_inactive,bbl,bin,Latitude,Longitude,geom
102154026,,,,,,,,,,,,,,,,,,,,,,,,1005907502,1076078,40.732604,-74.00228,
102243948,,,,,,,,,,,,,,,,,,,,,,,,1001460011,1001598,40.716075,-74.008549,
102324655,,,,,,,,,,,,,,,,,,,,,,,,1021100015,1087429,40.835892,-73.938576,
102427928,,,,,,,,,,,,,,,,,,,,,,,,1006150059,1011035,40.737976,-74.003688,
102436115,,,,,,,,,,,,,,,,,,,,,,,,1005260076,1008335,40.727977,-74.00136,
102445588,,,,,,,,,,,,,,,,,,,,,,,,1016240045,1087218,40.786435,-73.950499,
102465814,,,,,,,,,,,,,,,,,,,,,,,,1011540156,1030331,40.774044,-73.987858,
102465823,,,,,,,,,,,,,,,,,,,,,,,,1011540158,1030332,40.773975,-73.987699,
102465832,,,,,,,,,,,,,,,,,,,,,,,,1011540160,1030333,40.773909,-73.98754,
102465841,,,,,,,,,,,,,,,,,,,,,,,,1011540162,1030334,40.773841,-73.987378,
102507253,,,,,,,,,,,,,,,,,,,,,,,,1013050033,1036456,40.756151,-73.970944,
102515253,,,,,,,,,,,,,,,,,,,,,,,,1013037501,1036233,40.755138,-73.972442,
102549299,,,,,,,,,,,,,,,,,,,,,,,,1004680007,1079847,40.732327,-73.987526,
102554077,,,,,,,,,,,,,,,,,,,,,,,,1002300020,1002991,40.72112,-74.002323,
102573788,,,,,,,,,,,,,,,,,,,,,,,,1000780001,1001192,40.709474,-74.006709,
102593276,,,,,,,,,,,,,,,,,,,,,,,,1008460014,1016118,40.7376,-73.990968,
102624910,,,,,,,,,,,,,,,,,,,,,,,,1010600104,1082411,40.764693,-73.991224,
102631449,,,,,,,,,,,,,,,,,,,,,,,,1001060017,1087430,40.70888,-74.00202,
102639628,,,,,,,,,,,,,,,,,,,,,,,,1001460023,1086485,40.71588,-74.00744,
102653978,,,,,,,,,,,,,,,,,,,,,,,,1005080001,1077759,40.723352,-73.994505,
102657171,,,,,,,,,,,,,,,,,,,,,,,,1008280001,1015632,40.74489,-73.991342,
102665947,,,,,,,,,,,,,,,,,,,,,,,,1015647502,1073786,40.775565,-73.949915,
102704833,,,,,,,,,,,,,,,,,,,,,,,,1012330011,1081052,40.788142,-73.977202,
102738361,,,,,,,,,,,,,,,,,,,,,,,,1005580030,1009020,40.732508,-73.988161,
102811076,,,,,,,,,,,,,,,,,,,,,,,,1020670027,1061618,40.828801,-73.941892,
102825267,,,,,,,,,,,,,,,,,,,,,,,,1010340007,1075686,40.758827,-73.990904,
102837897,,,,,,,,,,,,,,,,,,,,,,,,1011990025,1031367,40.785127,-73.97048,
102846388,,,,,,,,,,,,,,,,,,,,,,,,1002310005,1003009,40.720069,-74.002247,
102862341,,,,,,,,,,,,,,,,,,,,,,,,1012980041,1087190,40.752391,-73.974298,
102885950,,,,,,,,,,,,,,,,,,,,,,,,1003060019,1003960,40.71756,-73.992709,
102904840,,,,,,,,,,,,,,,,,,,,,,,,1012080011,1031662,40.791329,-73.967346,
102908169,,,,,,,,,,,,,,,,,,,,,,,,1010330109,1024938,40.758509,-73.99129,
102908178,,,,,,,,,,,,,,,,,,,,,,,,1010330009,1085966,40.757795,-73.991106,
102917051,,,,,,,,,,,,,,,,,,,,,,,,1002300020,1002991,40.72112,-74.002323,
102917505,,,,,,,,,,,,,,,,,,,,,,,,1006350036,1011942,40.736543,-74.007257,
102921670,,,,,,,,,,,,,,,,,,,,,,,,1011270040,1028716,40.778283,-73.975404,
102921849,,,,,,,,,,,,,,,,,,,,,,,,1008687503,1085975,40.7509,-73.982131,
102922955,,,,,,,,,,,,,,,,,,,,,,,,1004710015,1087877,40.720179,-73.997201,
102925765,,,,,,,,,,,,,,,,,,,,,,,,1008830056,1018188,40.742067,-73.981671,
102927264,,,,,,,,,,,,,,,,,,,,,,,,1009140036,1088117,40.74528,-73.977094,
102953911,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
102963223,,,,,,,,,,,,,,,,,,,,,,,,1019690019,1087931,40.814748,-73.953364,
102965070,,,,,,,,,,,,,,,,,,,,,,,,1020510122,1061101,40.823033,-73.943863,
102978896,,,,,,,,,,,,,,,,,,,,,,,,1004200068,1075907,40.720069,-73.99127,
103017110,,,,,,,,,,,,,,,,,,,,,,,,1008147501,1015272,40.752703,-73.985671,
103022346,,,,,,,,,,,,,,,,,,,,,,,,1004080005,1005269,40.717667,-73.990206,
103023568,,,,,,,,,,,,,,,,,,,,,,,,1011820029,1030931,40.778787,-73.985539,
103045697,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103045704,,,,,,,,,,,,,,,,,,,,,,,,1013450049,1087513,40.7564,-73.96694,0101000020E6100000E25817B7D16044406E4C4F58E27D52C0
103059690,,,,,,,,,,,,,,,,,,,,,,,,1015050040,1047125,40.785253,-73.954103,
103061730,,,,,,,,,,,,,,,,,,,,,,,,1020610047,1061411,40.825696,-73.945263,
103087035,,,,,,,,,,,,,,,,,,,,,,,,1017270055,1053751,40.810087,-73.941743,
103088686,,,,,,,,,,,,,,,,,,,,,,,,1018280060,1055126,40.802082,-73.956407,
103095222,,,,,,,,,,,,,,,,,,,,,,,,1019020050,1057448,40.803792,-73.950424,
103095455,,,,,,,,,,,,,,,,,,,,,,,,1018290009,1055141,40.802334,-73.955836,
103096310,,,,,,,,,,,,,,,,,,,,,,,,1009210006,1020389,40.732345,-73.984384,
103098489,,,,,,,,,,,,,,,,,,,,,,,,1011830117,1030974,40.779854,-73.986117,
103100010,,,,,,,,,,,,,,,,,,,,,,,,1013477501,1089507,40.757851,-73.965889,
103111393,,,,,,,,,,,,,,,,,,,,,,,,1002147503,1086551,40.72104,-74.008987,
103126742,,,,,,,,,,,,,,,,,,,,,,,,1002147503,1086551,40.72104,-74.008987,
103131086,,,,,,,,,,,,,,,,,,,,,,,,1017530058,1087891,40.808206,-73.939205,
103146230,,,,,,,,,,,,,,,,,,,,,,,,1010057501,1023160,40.76165,-73.980684,
103174084,,,,,,,,,,,,,,,,,,,,,,,,1016390027,1087368,40.795401,-73.943283,
103178534,,,,,,,,,,,,,,,,,,,,,,,,1006020010,1086101,40.730545,-74.00906,
103178865,,,,,,,,,,,,,,,,,,,,,,,,1006027501,1086102,40.731166,-74.009139,
103179061,,,,,,,,,,,,,,,,,,,,,,,,1016747501,1086440,40.787598,-73.943196,
103181058,,,,,,,,,,,,,,,,,,,,,,,,1021210053,1062905,40.837152,-73.939301,
103185018,,,,,,,,,,,,,,,,,,,,,,,,1015440013,1049848,40.774362,-73.952811,
103190716,,,,,,,,,,,,,,,,,,,,,,,,1002120045,1002738,40.721046,-74.005548,
103193456,,,,,,,,,,,,,,,,,,,,,,,,1008290001,1088723,40.745342,-73.990487,
103198512,,,,,,,,,,,,,,,,,,,,,,,,1008470024,1016147,40.737786,-73.98977,
103199245,,,,,,,,,,,,,,,,,,,,,,,,1010897502,1085962,40.760884,-73.998477,
103202197,,,,,,,,,,,,,,,,,,,,,,,,1007180098,1083577,40.745162,-74.00354,
103202204,,,,,,,,,,,,,,,,,,,,,,,,1007180097,1088679,40.745219,-74.003638,
103243802,,,,,,,,,,,,,,,,,,,,,,,,1014910062,1046459,40.777071,-73.962395,
103247880,,,,,,,,,,,,,,,,,,,,,,,,1007690061,1013999,40.742897,-73.999062,
103248610,,,,,,,,,,,,,,,,,,,,,,,,1019500010,1059272,40.809849,-73.953945,
103249628,,,,,,,,,,,,,,,,,,,,,,,,1008930037,1019098,40.748061,-73.977176,
103252882,,,,,,,,,,,,,,,,,,,,,,,,1010640036,1026797,40.76679,-73.987094,
103255335,,,,,,,,,,,,,,,,,,,,,,,,1014220002,1043878,40.76665,-73.962455,
103255344,,,,,,,,,,,,,,,,,,,,,,,,1014220002,1043878,40.76665,-73.962455,
103278855,,,,,,,,,,,,,,,,,,,,,,,,1019760019,1059654,40.810479,-73.959819,
103283527,,,,,,,,,,,,,,,,,,,,,,,,1005880074,1010051,40.732843,-74.004896,
103298290,,,,,,,,,,,,,,,,,,,,,,,,1002970015,1003810,40.715565,-73.990289,
103305184,,,,,,,,,,,,,,,,,,,,,,,,1020447501,1060788,40.822892,-73.942071,
103306575,,,,,,,,,,,,,,,,,,,,,,,,1021580103,1063837,40.853058,-73.930409,
103310329,,,,,,,,,,,,,,,,,,,,,,,,1004580006,1006545,40.726212,-73.991381,
103316065,,,,,,,,,,,,,,,,,,,,,,,,1002180024,1002831,40.722736,-74.011213,
103322815,,,,,,,,,,,,,,,,,,,,,,,,1017160051,1089401,40.79595,-73.93211,
103322851,,,,,,,,,,,,,,,,,,,,,,,,1008670044,1017213,40.74967,-73.980236,
103325956,,,,,,,,,,,,,,,,,,,,,,,,1011050029,1081009,40.77052,-73.99187,
103332546,,,,,,,,,,,,,,,,,,,,,,,,1004277504,1087241,40.723203,-73.991248,
103351016,,,,,,,,,,,,,,,,,,,,,,,,1015600001,1050360,40.773206,-73.951638,
103360756,,,,,,,,,,,,,,,,,,,,,,,,1013890064,1041670,40.773872,-73.964935,
103361363,,,,,,,,,,,,,,,,,,,,,,,,1004880023,1007332,40.724318,-74.002442,
103364173,,,,,,,,,,,,,,,,,,,,,,,,1017540006,1054221,40.808887,-73.939638,
103367660,,,,,,,,,,,,,,,,,,,,,,,,1019597501,1087286,40.816523,-73.946621,
103400721,,,,,,,,,,,,,,,,,,,,,,,,1007987501,1014813,40.74279,-73.994031,
103402881,,,,,,,,,,,,,,,,,,,,,,,,1022150538,1064672,40.875067,-73.910169,
103406690,,,,,,,,,,,,,,,,,,,,,,,,1012500093,1034049,40.791136,-73.976591,
103413735,,,,,,,,,,,,,,,,,,,,,,,,1005947503,1086554,40.725383,-74.009189,
103415564,,,,,,,,,,,,,,,,,,,,,,,,1015000006,1046947,40.782774,-73.958734,
103420647,,,,,,,,,,,,,,,,,,,,,,,,1007400012,1087208,40.742005,-74.003201,
103422039,,,,,,,,,,,,,,,,,,,,,,,,1000970032,1087577,40.707869,-74.001941,
103423029,,,,,,,,,,,,,,,,,,,,,,,,1000970030,1079113,40.707517,-74.001746,
103423788,,,,,,,,,,,,,,,,,,,,,,,,1000970018,1087524,40.707248,-74.002283,
103433508,,,,,,,,,,,,,,,,,,,,,,,,1021290015,1063094,40.843551,-73.936599,
103447646,,,,,,,,,,,,,,,,,,,,,,,,1002170023,,40.72166,-74.01012,
103461264,,,,,,,,,,,,,,,,,,,,,,,,1019020040,1057438,40.803463,-73.949641,
103476604,,,,,,,,,,,,,,,,,,,,,,,,1011630014,1030410,40.778803,-73.983625,
103490358,,,,,,,,,,,,,,,,,,,,,,,,1020470007,1060884,40.828162,-73.938428,
103511807,,,,,,,,,,,,,,,,,,,,,,,,1010260041,1024858,40.764426,-73.981965,
103523821,,,,,,,,,,,,,,,,,,,,,,,,1016330020,1088165,40.79168,-73.94634,
103532928,,,,,,,,,,,,,,,,,,,,,,,,1019410007,1058874,40.81646,-73.9457,
103533231,,,,,,,,,,,,,,,,,,,,,,,,1018020036,1054791,40.80263,-73.93176,
103535792,,,,,,,,,,,,,,,,,,,,,,,,1016590144,1087889,40.79374,-73.942476,
103538815,,,,,,,,,,,,,,,,,,,,,,,,1011620024,1030370,40.777848,-73.983315,
103541936,,,,,,,,,,,,,,,,,,,,,,,,1000880014,1087947,40.7122,-74.008563,
